Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"{'x': 1277.89, 'y': 262.383, 'c': 0.831254}","{'x': 1380.96, 'y': 344.813, 'c': 0.781212}","{'x': 1330.91, 'y': 353.65, 'c': 0.68654}","{'x': 1266.12, 'y': 483.099, 'c': 0.486935}","{'x': 1277.84, 'y': 403.68, 'c': 0.291069}","{'x': 1439.68, 'y': 341.837, 'c': 0.744707}","{'x': 1327.91, 'y': 480.105, 'c': 0.838097}","{'x': 1301.44, 'y': 344.946, 'c': 0.796953}","{'x': 1369.07, 'y': 650.991, 'c': 0.56211}","{'x': 1316.11, 'y': 648.08, 'c': 0.560306}","{'x': 1280.7, 'y': 859.931, 'c': 0.770432}","{'x': 1289.63, 'y': 1074.82, 'c': 0.65082}","{'x': 1419.13, 'y': 656.828, 'c': 0.538808}","{'x': 1425.02, 'y': 903.973, 'c': 0.773058}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1277.92, 'y': 238.828, 'c': 0.136111}","{'x': 1286.78, 'y': 241.75, 'c': 0.851033}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1354.4, 'y': 241.731, 'c': 0.885532}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1280.77, 'y': 1074.89, 'c': 0.139079}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1301.36, 'y': 1074.87, 'c': 0.429607}",
"{'x': 1280.77, 'y': 259.468, 'c': 0.865891}","{'x': 1378.05, 'y': 342.068, 'c': 0.803016}","{'x': 1327.89, 'y': 344.879, 'c': 0.679321}","{'x': 1236.78, 'y': 459.658, 'c': 0.421238}","{'x': 1236.79, 'y': 386.066, 'c': 0.225662}","{'x': 1445.51, 'y': 341.953, 'c': 0.756006}","{'x': 1333.78, 'y': 480.276, 'c': 0.858833}","{'x': 1304.45, 'y': 344.932, 'c': 0.77533}","{'x': 1366.13, 'y': 653.925, 'c': 0.549488}","{'x': 1313.19, 'y': 650.945, 'c': 0.54774}","{'x': 1280.85, 'y': 862.866, 'c': 0.759581}","{'x': 1292.59, 'y': 1074.86, 'c': 0.457479}","{'x': 1419.06, 'y': 659.786, 'c': 0.535088}","{'x': 1422, 'y': 903.973, 'c': 0.746262}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1280.76, 'y': 241.787, 'c': 0.163966}","{'x': 1295.57, 'y': 238.921, 'c': 0.830793}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1357.37, 'y': 241.798, 'c': 0.872916}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1286.69, 'y': 1074.9, 'c': 0.110227}","{'x': 1289.63, 'y': 1074.91, 'c': 0.0881255}","{'x': 1304.25, 'y': 1074.89, 'c': 0.233892}",
"{'x': 1283.71, 'y': 265.299, 'c': 0.87676}","{'x': 1378, 'y': 342.003, 'c': 0.865791}","{'x': 1316.19, 'y': 339.064, 'c': 0.708549}","{'x': 1230.79, 'y': 403.77, 'c': 0.44445}","{'x': 1210.17, 'y': 386.015, 'c': 0.483932}","{'x': 1445.68, 'y': 344.815, 'c': 0.780874}","{'x': 1336.73, 'y': 480.276, 'c': 0.830961}","{'x': 1310.3, 'y': 341.829, 'c': 0.806301}","{'x': 1360.25, 'y': 653.895, 'c': 0.581024}","{'x': 1307.42, 'y': 648.102, 'c': 0.596873}","{'x': 1280.93, 'y': 860.012, 'c': 0.763657}","{'x': 1289.72, 'y': 1074.87, 'c': 0.45589}","{'x': 1416.14, 'y': 659.765, 'c': 0.55307}","{'x': 1419.17, 'y': 909.98, 'c': 0.699572}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1280.92, 'y': 244.834, 'c': 0.267273}","{'x': 1301.35, 'y': 241.87, 'c': 0.87993}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1360.23, 'y': 241.88, 'c': 0.883176}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1283.8, 'y': 1074.9, 'c': 0.098263}","{'x': 1286.74, 'y': 1074.91, 'c': 0.0807068}","{'x': 1301.42, 'y': 1074.9, 'c': 0.226769}",
"{'x': 1283.72, 'y': 268.239, 'c': 0.904263}","{'x': 1377.86, 'y': 347.756, 'c': 0.858172}","{'x': 1304.42, 'y': 341.933, 'c': 0.733163}","{'x': 1186.55, 'y': 368.441, 'c': 0.79979}","{'x': 1110.14, 'y': 339.064, 'c': 0.741095}","{'x': 1448.49, 'y': 353.693, 'c': 0.747517}","{'x': 1339.67, 'y': 483.253, 'c': 0.803195}","{'x': 1319.1, 'y': 342.033, 'c': 0.741148}","{'x': 1357.39, 'y': 656.844, 'c': 0.57594}","{'x': 1307.39, 'y': 650.99, 'c': 0.585551}","{'x': 1280.82, 'y': 862.936, 'c': 0.769891}","{'x': 1292.63, 'y': 1074.87, 'c': 0.401089}","{'x': 1413.23, 'y': 659.813, 'c': 0.55523}","{'x': 1404.53, 'y': 906.966, 'c': 0.712943}","{'x': 1469.24, 'y': 1074.9, 'c': 0.0648719}","{'x': 1283.64, 'y': 247.701, 'c': 0.316528}","{'x': 1304.18, 'y': 244.864, 'c': 0.934311}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1363.26, 'y': 244.704, 'c': 0.886208}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1289.66, 'y': 1074.9, 'c': 0.100242}","{'x': 1292.61, 'y': 1074.91, 'c': 0.0797753}","{'x': 1301.44, 'y': 1074.9, 'c': 0.194948}",
"{'x': 1283.68, 'y': 268.439, 'c': 0.892945}","{'x': 1378.02, 'y': 344.955, 'c': 0.832339}","{'x': 1307.38, 'y': 338.833, 'c': 0.692528}","{'x': 1171.89, 'y': 338.957, 'c': 0.775919}","{'x': 1060.08, 'y': 315.444, 'c': 0.600706}","{'x': 1448.54, 'y': 362.595, 'c': 0.765525}","{'x': 1333.89, 'y': 486.217, 'c': 0.786529}","{'x': 1319.06, 'y': 356.588, 'c': 0.761361}","{'x': 1357.35, 'y': 656.864, 'c': 0.599578}","{'x': 1307.36, 'y': 653.88, 'c': 0.604862}","{'x': 1277.82, 'y': 865.846, 'c': 0.708463}","{'x': 1289.7, 'y': 1074.87, 'c': 0.471949}","{'x': 1410.28, 'y': 662.699, 'c': 0.566253}","{'x': 1401.63, 'y': 910.017, 'c': 0.724524}","{'x': 1472.03, 'y': 1074.9, 'c': 0.0516177}","{'x': 1280.96, 'y': 247.777, 'c': 0.29835}","{'x': 1301.45, 'y': 247.819, 'c': 0.913388}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1366.17, 'y': 247.72, 'c': 0.904128}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1295.52, 'y': 1074.9, 'c': 0.110904}","{'x': 1295.56, 'y': 1074.91, 'c': 0.092449}","{'x': 1301.35, 'y': 1074.9, 'c': 0.233403}",
"{'x': 1283.74, 'y': 271.394, 'c': 0.885706}","{'x': 1383.84, 'y': 347.801, 'c': 0.773014}","{'x': 1321.99, 'y': 336.086, 'c': 0.648579}","{'x': 1168.99, 'y': 338.847, 'c': 0.810624}","{'x': 1045.26, 'y': 297.839, 'c': 0.740554}","{'x': 1448.55, 'y': 365.473, 'c': 0.764323}","{'x': 1333.9, 'y': 494.986, 'c': 0.771169}","{'x': 1324.85, 'y': 359.574, 'c': 0.801697}","{'x': 1354.48, 'y': 665.64, 'c': 0.599554}","{'x': 1307.3, 'y': 656.854, 'c': 0.592033}","{'x': 1269.01, 'y': 865.864, 'c': 0.686855}","{'x': 1289.68, 'y': 1074.87, 'c': 0.476338}","{'x': 1404.39, 'y': 668.644, 'c': 0.561933}","{'x': 1398.6, 'y': 909.949, 'c': 0.755759}","{'x': 1469.26, 'y': 1074.9, 'c': 0.0614252}","{'x': 1280.93, 'y': 250.635, 'c': 0.136047}","{'x': 1301.44, 'y': 250.666, 'c': 0.89778}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1366.21, 'y': 247.873, 'c': 0.88944}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1295.53, 'y': 1074.9, 'c': 0.116038}","{'x': 1298.46, 'y': 1074.91, 'c': 0.0969082}","{'x': 1298.5, 'y': 1074.89, 'c': 0.242045}",
"{'x': 1283.76, 'y': 271.424, 'c': 0.898763}","{'x': 1383.83, 'y': 356.633, 'c': 0.784452}","{'x': 1310.26, 'y': 339.091, 'c': 0.695529}","{'x': 1171.94, 'y': 347.838, 'c': 0.754698}","{'x': 1083.62, 'y': 318.251, 'c': 0.7042}","{'x': 1451.49, 'y': 365.617, 'c': 0.741299}","{'x': 1336.72, 'y': 503.695, 'c': 0.797756}","{'x': 1324.89, 'y': 362.377, 'c': 0.809217}","{'x': 1351.45, 'y': 668.575, 'c': 0.606045}","{'x': 1304.22, 'y': 659.763, 'c': 0.585725}","{'x': 1260.24, 'y': 865.784, 'c': 0.780754}","{'x': 1292.6, 'y': 1074.85, 'c': 0.587448}","{'x': 1401.42, 'y': 674.493, 'c': 0.563002}","{'x': 1395.63, 'y': 904.069, 'c': 0.756369}","{'x': 1469.12, 'y': 1074.89, 'c': 0.0916993}","{'x': 1280.9, 'y': 250.681, 'c': 0.138902}","{'x': 1301.43, 'y': 250.674, 'c': 0.901331}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1366.2, 'y': 247.899, 'c': 0.89213}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1295.53, 'y': 1074.89, 'c': 0.14438}","{'x': 1295.5, 'y': 1074.91, 'c': 0.126103}","{'x': 1301.35, 'y': 1074.89, 'c': 0.345101}",
"{'x': 1283.69, 'y': 271.401, 'c': 0.896555}","{'x': 1378.07, 'y': 359.462, 'c': 0.827547}","{'x': 1307.41, 'y': 341.874, 'c': 0.757352}","{'x': 1189.61, 'y': 385.972, 'c': 0.859762}","{'x': 1118.88, 'y': 338.922, 'c': 0.757913}","{'x': 1448.65, 'y': 365.606, 'c': 0.755339}","{'x': 1339.68, 'y': 503.778, 'c': 0.799504}","{'x': 1321.98, 'y': 362.393, 'c': 0.791207}","{'x': 1348.46, 'y': 665.636, 'c': 0.602178}","{'x': 1298.42, 'y': 653.922, 'c': 0.59529}","{'x': 1260.17, 'y': 862.829, 'c': 0.768025}","{'x': 1292.56, 'y': 1074.85, 'c': 0.609153}","{'x': 1398.47, 'y': 671.563, 'c': 0.584774}","{'x': 1395.54, 'y': 906.967, 'c': 0.767539}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1280.93, 'y': 250.721, 'c': 0.156022}","{'x': 1301.42, 'y': 250.711, 'c': 0.88916}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1366.2, 'y': 250.619, 'c': 0.883099}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1292.59, 'y': 1074.9, 'c': 0.14269}","{'x': 1289.64, 'y': 1074.91, 'c': 0.123746}","{'x': 1301.36, 'y': 1074.89, 'c': 0.364163}",
"{'x': 1283.68, 'y': 271.373, 'c': 0.888149}","{'x': 1380.94, 'y': 356.615, 'c': 0.804702}","{'x': 1322.04, 'y': 341.841, 'c': 0.755176}","{'x': 1227.8, 'y': 424.289, 'c': 0.790982}","{'x': 1177.76, 'y': 380.205, 'c': 0.723177}","{'x': 1448.61, 'y': 365.523, 'c': 0.769952}","{'x': 1339.69, 'y': 503.735, 'c': 0.810085}","{'x': 1313.26, 'y': 356.629, 'c': 0.769878}","{'x': 1348.49, 'y': 659.783, 'c': 0.605451}","{'x': 1298.5, 'y': 650.994, 'c': 0.611367}","{'x': 1257.37, 'y': 859.919, 'c': 0.788483}","{'x': 1289.68, 'y': 1074.86, 'c': 0.543985}","{'x': 1398.42, 'y': 665.708, 'c': 0.587501}","{'x': 1392.62, 'y': 903.973, 'c': 0.746111}","{'x': 1469, 'y': 1074.9, 'c': 0.055717}","{'x': 1280.95, 'y': 250.808, 'c': 0.26495}","{'x': 1301.4, 'y': 250.642, 'c': 0.893903}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1366.14, 'y': 250.684, 'c': 0.870624}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1289.67, 'y': 1074.9, 'c': 0.127925}","{'x': 1289.65, 'y': 1074.92, 'c': 0.104216}","{'x': 1298.49, 'y': 1074.89, 'c': 0.292564}",
"{'x': 1280.82, 'y': 271.382, 'c': 0.913198}","{'x': 1380.85, 'y': 359.504, 'c': 0.808511}","{'x': 1324.99, 'y': 344.814, 'c': 0.709067}","{'x': 1260.27, 'y': 465.488, 'c': 0.649966}","{'x': 1216.07, 'y': 406.706, 'c': 0.562465}","{'x': 1445.68, 'y': 365.415, 'c': 0.779857}","{'x': 1336.69, 'y': 500.89, 'c': 0.804274}","{'x': 1310.24, 'y': 356.573, 'c': 0.796907}","{'x': 1348.42, 'y': 653.919, 'c': 0.60438}","{'x': 1295.52, 'y': 648.054, 'c': 0.60932}","{'x': 1257.19, 'y': 857.018, 'c': 0.759842}","{'x': 1289.62, 'y': 1074.85, 'c': 0.587218}","{'x': 1395.65, 'y': 662.722, 'c': 0.588255}","{'x': 1392.67, 'y': 907.042, 'c': 0.720352}","{'x': 1466.26, 'y': 1074.9, 'c': 0.0525519}","{'x': 1280.82, 'y': 250.77, 'c': 0.188311}","{'x': 1295.55, 'y': 250.745, 'c': 0.847941}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1357.45, 'y': 250.792, 'c': 0.851241}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 0, 'y': 0, 'c': 0}","{'x': 1286.76, 'y': 1074.9, 'c': 0.130898}","{'x': 1283.79, 'y': 1074.91, 'c': 0.108482}","{'x': 1298.48, 'y': 1074.89, 'c': 0.335573}",
