Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"423.358,127.087,0.868657","467.679,141.478,0.566125","466.344,138.835,0.385338","0,0,0","0,0,0","468.985,149.218,0.764594","496.416,222.333,0.853329","451.992,193.62,0.73562","484.561,288.869,0.582697","487.227,290.169,0.436556","484.581,382.811,0.803107","521.164,466.385,0.708376","478.082,288.89,0.554697","414.131,378.889,0.740951","423.3,476.817,0.585547","422.023,117.95,0.153347","429.809,117.952,0.864292","0,0,0","453.281,108.852,0.943309","0,0,0","0,0,0","423.283,476.829,0.374252","515.952,476.827,0.148244","518.538,476.833,0.150667","526.382,476.808,0.566257",
"424.617,128.344,0.846961","465.061,142.724,0.646344","458.507,141.441,0.507079","454.652,214.523,0.548434","435.044,184.483,0.488923","472.874,144.048,0.768949","496.363,219.701,0.84221","448.102,183.213,0.680752","483.306,286.307,0.60776","484.63,287.571,0.451621","484.55,381.542,0.799982","519.864,465.104,0.718479","479.383,287.585,0.567014","412.87,376.291,0.764095","421.958,476.818,0.552392","423.252,119.175,0.125458","431.075,117.968,0.871526","0,0,0","453.28,108.807,0.938679","416.742,476.835,0.0911687","0,0,0","421.936,476.831,0.327333","515.943,476.825,0.152934","517.228,476.83,0.152259","526.381,476.801,0.546145",
"424.588,127.079,0.849096","465.057,142.762,0.702011","455.948,142.741,0.610938","453.262,215.853,0.697151","433.76,183.186,0.529351","474.163,142.752,0.8145","493.765,221.044,0.832828","445.503,181.917,0.709395","483.279,287.603,0.598665","485.911,288.886,0.458423","483.274,382.87,0.759151","519.867,466.387,0.702551","476.792,288.879,0.568175","414.139,377.635,0.717613","412.891,476.817,0.569471","422.027,117.961,0.139122","429.817,117.933,0.861593","0,0,0","453.261,108.792,0.928631","406.307,476.837,0.0787036","0,0,0","412.841,476.831,0.33944","515.926,476.829,0.141926","512.034,476.83,0.138485","526.389,476.806,0.543955",
"423.276,127.086,0.887301","465.076,147.943,0.706133","457.201,146.654,0.598802","451.965,218.421,0.586363","433.695,192.353,0.603417","474.189,146.663,0.807927","487.249,223.596,0.851837","444.133,190.994,0.804945","480.713,288.878,0.591842","484.596,288.894,0.458125","478.105,382.847,0.740767","518.593,466.364,0.708507","476.799,288.913,0.585144","414.199,380.218,0.691596","408.953,476.814,0.58539","421.971,119.187,0.21999","427.209,119.189,0.867412","0,0,0","452.001,108.858,0.928234","401.118,476.824,0.0933357","403.724,476.846,0.125724","406.323,476.829,0.376975","517.264,476.829,0.138753","0,0,0","526.348,476.804,0.538744",
"422,119.283,0.836342","459.819,151.837,0.548039","442.889,150.603,0.402243","0,0,0","0,0,0","475.499,150.603,0.711657","478.113,223.633,0.680007","441.535,194.958,0.381487","481.997,286.235,0.539187","484.608,284.957,0.382105","478.083,382.828,0.718119","518.58,466.372,0.673465","478.091,287.55,0.536648","420.642,371.138,0.695094","403.763,463.701,0.567673","420.639,110.17,0.419352","429.783,110.13,0.795194","0,0,0","452.008,108.844,0.889359","391.974,465.028,0.223648","391.947,465.095,0.272026","408.931,466.395,0.376696","521.18,476.815,0.171966","521.153,476.828,0.171508","526.355,476.804,0.502791",
"356.715,95.7313,0.782222","338.475,124.468,0.859834","312.369,120.528,0.828067","305.797,160.957,0.845906","328.03,133.594,0.729158","361.991,129.674,0.816839","397.19,159.715,0.402613","0,0,0","338.439,223.633,0.701783","320.212,223.62,0.665131","317.601,305.844,0.812973","307.177,381.494,0.808207","352.805,223.655,0.640906","359.33,299.362,0.811317","350.204,369.731,0.864029","350.202,87.9087,0.917776","359.313,87.9627,0.604354","333.275,87.8844,0.837165","0,0,0","368.504,380.222,0.727581","369.733,377.587,0.713516","345.004,373.689,0.742039","313.674,399.77,0.786597","305.82,397.193,0.736156","307.146,385.428,0.596285",
"356.74,95.7313,0.789908","338.487,123.191,0.859656","312.373,120.536,0.826841","304.564,160.961,0.850297","328.043,132.328,0.737577","363.264,129.644,0.810267","397.195,155.787,0.437827","411.548,154.473,0.132337","338.496,223.631,0.708007","321.485,223.609,0.651235","317.585,304.555,0.795979","307.181,380.256,0.803538","355.426,223.645,0.636998","359.33,299.344,0.809445","350.215,369.724,0.851663","350.21,87.9081,0.915165","359.313,87.953,0.595135","334.533,87.8785,0.834669","0,0,0","368.49,380.202,0.719144","369.747,376.306,0.708775","346.279,373.688,0.741792","313.668,399.766,0.779478","305.812,397.18,0.728621","307.156,384.151,0.58776",
"356.731,94.4734,0.790509","338.469,123.164,0.867862","312.378,120.52,0.823591","305.806,160.956,0.845264","329.286,132.3,0.717641","361.959,128.396,0.804317","391.988,151.852,0.597944","403.742,151.826,0.13681","338.464,223.62,0.706802","320.228,223.607,0.659505","317.6,305.84,0.812315","307.175,381.504,0.813428","352.848,223.633,0.634398","359.33,299.363,0.807589","350.217,369.726,0.857269","350.204,87.9075,0.920995","359.316,87.9567,0.612579","334.531,87.8828,0.831324","0,0,0","368.466,380.203,0.745003","369.743,376.313,0.731212","346.274,373.686,0.739607","313.681,399.764,0.787961","305.83,397.189,0.741857","307.136,385.443,0.602098",
"356.728,95.7382,0.796136","338.465,123.178,0.868237","312.352,120.532,0.825117","305.806,160.955,0.845136","329.294,132.282,0.708147","361.977,129.618,0.809083","393.304,151.859,0.666729","412.845,151.866,0.211666","338.476,223.657,0.708791","320.227,223.643,0.66254","317.615,305.849,0.820859","307.17,381.501,0.812977","354.139,223.673,0.630411","359.342,300.614,0.808526","350.215,369.733,0.86117","350.205,87.9176,0.926032","359.319,87.968,0.613057","333.273,87.8907,0.831731","0,0,0","368.466,380.189,0.756494","369.757,376.296,0.734981","346.272,373.7,0.740081","313.679,399.766,0.791565","305.827,397.19,0.743073","307.127,385.434,0.600541",
"356.724,95.7265,0.792449","338.49,123.183,0.860025","312.369,120.548,0.821311","305.801,160.953,0.8438","329.302,131.043,0.718615","363.244,128.406,0.801958","394.57,151.851,0.54381","411.511,151.852,0.106731","338.488,223.653,0.709803","320.225,223.638,0.66052","317.613,305.858,0.818898","307.177,381.505,0.813776","355.438,223.667,0.637252","359.35,300.613,0.806118","350.216,369.736,0.860312","350.198,87.9094,0.923894","359.315,87.9579,0.623297","333.268,87.8896,0.829706","0,0,0","368.492,380.193,0.765298","369.768,376.298,0.736183","346.27,373.705,0.744087","313.686,399.77,0.78819","305.837,397.201,0.740323","307.141,385.449,0.604371",
