Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"355.456,94.436,0.724908","338.511,129.679,0.59619","312.381,128.355,0.47676","299.326,167.512,0.096166","0,0,0","363.253,130.984,0.694336","381.545,168.844,0.0524152","0,0,0","335.882,222.323,0.569991","317.605,222.307,0.590789","316.262,304.522,0.695316","308.418,380.269,0.78344","351.55,223.627,0.56881","359.354,299.315,0.820642","350.207,369.739,0.847388","350.167,87.872,0.889226","359.278,87.8988,0.458432","331.929,86.6143,0.783787","0,0,0","368.477,380.187,0.63622","369.742,375.001,0.628239","345.005,373.716,0.709105","312.382,399.818,0.731127","305.803,397.214,0.672693","308.465,384.158,0.561905",
"356.735,94.4411,0.733984","339.796,130.981,0.613226","312.384,129.645,0.4723","0,0,0","0,0,0","368.502,132.285,0.672717","0,0,0","0,0,0","337.151,223.659,0.585918","318.849,223.634,0.591175","317.54,307.107,0.777725","308.406,381.501,0.783796","354.107,224.941,0.560936","359.396,299.359,0.817472","350.206,369.736,0.851619","350.174,87.8759,0.903372","359.287,87.9025,0.444124","330.675,86.6306,0.79721","0,0,0","368.503,380.261,0.68391","369.743,377.618,0.667975","345.003,373.71,0.714419","312.394,399.805,0.72078","305.803,397.207,0.668513","308.447,384.171,0.559529",
"356.741,94.4646,0.729025","338.431,133.58,0.475858","335.854,132.336,0.670552","342.369,193.651,0.776941","382.831,171.412,0.393546","347.586,132.286,0.263734","0,0,0","0,0,0","333.266,230.152,0.484728","322.825,230.162,0.400973","317.602,308.448,0.569539","307.195,381.545,0.626942","346.29,230.15,0.388489","359.357,303.228,0.600282","350.23,369.748,0.71172","350.169,87.8843,0.888534","359.278,87.8864,0.419657","331.957,86.65,0.799182","0,0,0","371.075,380.174,0.550494","369.787,376.29,0.501846","346.282,373.702,0.561225","314.957,401.054,0.616045","305.869,398.515,0.589752","307.136,388.045,0.457451",
"403.765,117.959,0.592114","444.222,140.121,0.843356","489.819,140.098,0.755515","0,0,0","0,0,0","402.384,140.138,0.738882","329.332,172.69,0.912045","298.047,158.372,0.78547","458.545,318.896,0.447749","485.958,317.594,0.411902","501.559,418.059,0.695771","526.427,476.841,0.0794384","432.401,317.601,0.454368","382.836,416.776,0.655032","0,0,0","0,0,0","403.713,108.79,0.788772","0,0,0","421.926,99.6741,0.901133","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"397.182,111.442,0.669295","441.522,141.436,0.835612","484.568,142.747,0.74087","497.658,213.201,0.254223","0,0,0","397.187,140.138,0.708803","328.023,172.784,0.90088","299.356,151.838,0.798357","454.616,307.165,0.484628","482.004,307.134,0.393451","493.714,419.371,0.71843","523.757,476.84,0.0806584","431.115,308.452,0.471916","380.246,416.772,0.68962","0,0,0","0,0,0","398.481,106.183,0.747601","0,0,0","412.882,99.6986,0.900888","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"390.69,111.421,0.549825","433.76,141.401,0.81403","474.224,146.651,0.725149","484.66,221.022,0.371568","0,0,0","394.583,138.832,0.712972","330.624,183.135,0.862302","309.751,141.468,0.669093","446.788,309.751,0.434157","472.881,307.142,0.39954","484.59,421.93,0.755238","515.999,476.843,0.0500981","423.264,311.059,0.430542","374.991,416.746,0.613098","0,0,0","0,0,0","390.665,106.191,0.783986","0,0,0","406.329,98.3642,0.874084","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"354.131,97.0188,0.655017","338.412,130.974,0.556023","311.081,129.687,0.438129","308.462,170.122,0.104229","339.763,180.582,0.104176","360.705,132.283,0.565489","0,0,0","0,0,0","331.94,224.939,0.519708","317.543,224.936,0.497342","317.565,307.101,0.767253","308.417,381.511,0.761338","348.942,224.962,0.540282","359.268,298.057,0.771559","350.218,368.468,0.812599","350.177,87.9162,0.873516","358.05,87.9113,0.213882","331.969,87.8596,0.777941","0,0,0","363.25,380.201,0.423783","365.872,374.989,0.414267","346.279,372.414,0.698235","312.39,399.797,0.69857","305.803,397.187,0.649803","308.443,385.444,0.541196",
"382.86,110.101,0.806747","429.824,137.487,0.731094","454.615,140.126,0.705104","427.207,223.636,0.065613","0,0,0","402.46,131.058,0.776996","342.41,196.25,0.775911","337.159,151.85,0.704708","444.206,304.53,0.507394","465.035,300.634,0.444031","472.87,422.001,0.763088","0,0,0","424.621,305.851,0.458427","372.402,419.367,0.505934","0,0,0","0,0,0","382.816,99.7419,0.840041","0,0,0","399.807,95.7492,0.870747","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"380.165,111.391,0.814611","422.021,130.948,0.71062","433.697,129.699,0.610242","425.907,214.501,0.0559163","0,0,0","412.824,130.967,0.76665","364.552,206.66,0.747634","351.534,151.909,0.67498","444.166,299.338,0.514361","459.835,298.026,0.437706","462.391,421.954,0.760436","506.724,476.841,0.068034","432.384,300.642,0.476859","378.896,412.849,0.488895","371.13,476.837,0.0591076","0,0,0","378.934,99.7184,0.806061","0,0,0","391.996,91.8348,0.88165","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"372.41,108.842,0.703708","414.185,133.581,0.618828","403.713,138.815,0.436261","382.874,211.874,0.0620781","0,0,0","423.265,130.966,0.793504","385.444,209.262,0.702445","365.868,151.898,0.651032","444.181,303.24,0.512004","457.21,299.347,0.406156","454.585,421.957,0.775281","0,0,0","433.764,305.841,0.469765","378.936,415.453,0.59023","0,0,0","0,0,0","372.411,99.6573,0.736724","0,0,0","389.362,94.4377,0.849899","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
