Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"266.778,129.61,0.88097","243.216,144.051,0.830097","222.282,140.131,0.827732","223.64,187.123,0.839219","257.587,161.015,0.861641","264.11,150.608,0.804909","283.669,193.583,0.866764","297.997,172.718,0.863485","235.379,256.286,0.744677","219.723,257.559,0.644094","209.276,329.296,0.769051","183.227,392.005,0.829575","253.616,256.264,0.714304","277.116,317.616,0.86001","275.892,384.154,0.747669","265.38,120.544,0.949607","273.236,120.604,0.687089","247.152,111.445,0.875828","0,0,0","287.557,414.183,0.59894","292.8,411.509,0.648086","268.025,393.27,0.615234","198.844,412.859,0.77055","189.686,412.843,0.74081","180.543,397.195,0.732139",
"264.098,128.343,0.858561","238.015,145.339,0.806776","215.821,141.425,0.834867","218.422,193.589,0.839804","253.647,166.208,0.792834","261.464,150.57,0.789659","284.96,194.966,0.832271","300.63,175.369,0.75861","235.42,262.773,0.726246","219.723,265.385,0.659997","204.109,337.163,0.788607","183.19,393.307,0.821696","254.892,258.854,0.720259","278.455,316.239,0.81493","279.748,382.845,0.729593","258.86,120.51,0.888349","266.704,120.581,0.785207","244.5,111.438,0.906317","0,0,0","286.298,412.841,0.632879","292.811,408.938,0.61228","275.826,390.643,0.650599","198.848,412.853,0.771591","189.69,412.857,0.743157","179.26,399.802,0.730254",
"261.486,127.079,0.840471","238.011,142.77,0.843199","214.491,141.448,0.860426","214.467,193.682,0.862304","244.482,170.137,0.78313","264.096,147.946,0.806869","279.775,202.701,0.851327","292.789,181.818,0.800355","236.661,262.763,0.7151","218.442,265.404,0.662524","204.078,335.851,0.788661","183.191,393.267,0.827406","254.988,257.568,0.744649","284.914,317.544,0.784278","286.286,384.146,0.789108","256.307,119.306,0.941961","265.419,120.548,0.843003","243.23,111.414,0.894538","0,0,0","295.36,414.153,0.764407","299.346,410.243,0.738245","278.469,390.622,0.72237","198.848,412.842,0.776238","189.689,412.842,0.74279","179.269,399.762,0.726981",
"262.778,128.332,0.838314","240.608,142.779,0.811865","214.508,141.442,0.8346","211.91,196.242,0.734327","243.19,171.429,0.63675","266.646,147.972,0.813468","283.653,204.049,0.842754","283.634,180.593,0.504308","237.981,264.103,0.716272","219.718,266.67,0.676441","204.068,335.843,0.777002","183.219,391.981,0.803485","256.33,262.773,0.732334","286.216,320.196,0.801824","288.861,382.832,0.634035","256.321,119.302,0.908008","266.653,120.526,0.781582","243.193,110.166,0.879673","0,0,0","298.003,411.501,0.470025","304.539,405.033,0.47905","284.94,390.628,0.518298","198.859,412.845,0.778625","188.419,412.828,0.729357","180.541,397.181,0.664175",
"264.067,125.762,0.855069","239.296,142.765,0.824157","214.5,140.179,0.850484","211.91,196.231,0.80755","235.419,172.734,0.767953","265.419,149.226,0.857994","283.629,204.022,0.86171","286.265,176.644,0.816926","238.006,264.067,0.721591","220.995,266.668,0.688333","204.067,330.641,0.82029","183.173,391.964,0.823247","256.331,258.899,0.735873","283.655,317.633,0.816394","294.069,381.58,0.758239","257.562,119.249,0.917474","266.665,119.294,0.785223","243.187,110.107,0.914007","0,0,0","300.656,412.901,0.725711","308.448,408.955,0.718795","287.562,389.324,0.69523","198.842,412.863,0.770678","188.403,412.846,0.737336","179.241,397.172,0.686218",
"264.047,128.335,0.8613","244.494,142.765,0.895427","214.51,140.101,0.845261","204.122,194.914,0.83617","232.743,168.843,0.695325","271.936,150.505,0.808771","292.781,202.737,0.866738","288.893,172.754,0.804871","240.62,260.176,0.701849","222.295,262.762,0.693551","204.117,327.995,0.786219","183.189,391.963,0.802185","260.174,258.852,0.702566","286.222,318.925,0.833896","298.05,381.584,0.797396","257.539,119.245,0.923506","266.713,120.508,0.882924","243.204,110.099,0.920955","0,0,0","309.777,412.801,0.767103","317.612,407.616,0.761644","296.693,390.632,0.694946","198.834,412.849,0.78238","188.403,412.85,0.74354","179.279,398.479,0.669276",
"291.512,127.062,0.83788","268.037,142.71,0.85959","247.115,141.386,0.848001","244.446,196.253,0.823868","266.682,171.49,0.844041","290.203,146.649,0.783489","308.475,194.963,0.86763","314.955,171.398,0.787029","266.664,256.297,0.771633","248.41,258.867,0.681875","234.139,329.316,0.822356","223.7,381.515,0.860266","284.968,256.229,0.736064","305.839,318.948,0.81061","309.784,388.066,0.740363","287.589,119.297,0.953216","296.704,120.533,0.77537","274.482,110.133,0.885199","0,0,0","316.248,412.867,0.776592","321.541,410.253,0.740866","307.141,393.309,0.705231","234.117,403.734,0.792444","224.916,402.431,0.806407","222.299,382.873,0.674727",
"290.212,127.061,0.829967","269.309,142.709,0.850977","245.877,141.409,0.847659","244.457,198.821,0.825836","264.114,174.048,0.828858","294.098,146.624,0.787694","308.528,194.941,0.86472","316.259,162.291,0.790278","266.694,257.546,0.760083","248.445,258.876,0.675336","235.385,329.314,0.828964","224.881,380.273,0.864697","286.209,256.251,0.747555","305.796,320.211,0.795991","309.772,388.037,0.741449","287.544,119.271,0.949106","296.676,120.526,0.802942","273.204,110.107,0.877989","0,0,0","316.252,412.866,0.791104","321.54,410.244,0.749909","307.136,393.269,0.706843","235.338,403.714,0.799231","224.93,402.414,0.811493","222.296,382.847,0.693169",
"290.222,127.081,0.836784","266.759,141.453,0.879456","245.806,140.155,0.845287","244.467,196.246,0.821306","265.438,171.388,0.821562","288.933,144.045,0.78957","309.749,193.69,0.864067","314.995,167.533,0.736189","266.651,257.562,0.761991","247.141,260.16,0.684336","235.334,329.347,0.83964","224.895,381.554,0.852517","284.969,256.252,0.738181","304.53,318.942,0.787596","309.748,386.755,0.746511","287.539,119.287,0.945527","296.677,120.527,0.732574","271.895,110.103,0.878353","0,0,0","316.259,412.896,0.77561","322.793,411.491,0.739898","307.106,392.021,0.691738","235.338,403.739,0.79517","224.929,402.448,0.810468","222.319,384.166,0.679835",
"288.923,127.092,0.850633","266.756,141.44,0.885497","245.771,140.118,0.841176","244.554,194.961,0.847939","265.413,167.544,0.764431","290.201,145.355,0.780634","309.795,193.613,0.864811","314.975,162.367,0.757962","266.683,257.596,0.746976","247.171,260.183,0.678233","235.415,329.329,0.819399","224.902,381.523,0.862771","286.213,256.288,0.740359","304.554,318.926,0.794238","309.785,388.053,0.745615","286.3,119.291,0.950484","295.419,120.542,0.717543","269.332,110.102,0.878269","0,0,0","316.266,412.885,0.783887","322.814,411.491,0.748715","307.132,393.293,0.717909","235.343,403.732,0.79327","224.933,402.434,0.806284","222.314,384.131,0.696469",
"288.858,128.331,0.860273","267.999,141.444,0.875164","244.563,140.106,0.843665","244.531,193.672,0.863505","265.326,168.833,0.769297","292.814,146.638,0.769793","311.076,192.373,0.864649","314.981,163.618,0.723221","266.692,257.553,0.748829","248.416,258.885,0.672661","236.689,329.298,0.811439","224.912,381.503,0.870621","286.219,256.241,0.739495","304.536,318.91,0.794005","309.817,389.362,0.74622","286.24,119.295,0.93545","295.376,120.546,0.733084","268.059,110.119,0.886381","0,0,0","315.001,412.833,0.774255","321.53,410.238,0.749034","307.161,394.598,0.704263","235.352,403.747,0.780688","224.944,402.434,0.790399","222.306,382.874,0.709112",
"287.629,128.342,0.843956","268.006,141.408,0.863749","244.567,140.084,0.834717","244.51,194.915,0.864264","265.35,164.929,0.761506","292.787,144.033,0.776592","312.376,192.365,0.869491","313.691,162.341,0.701902","266.729,257.553,0.750075","249.726,258.888,0.667902","236.724,329.333,0.817064","224.909,381.502,0.872601","286.25,256.232,0.751866","304.558,318.858,0.801954","309.814,389.352,0.748863","286.223,120.499,0.905667","294.124,120.548,0.622205","269.294,110.152,0.881729","0,0,0","316.247,412.865,0.780502","322.796,410.259,0.749441","307.161,394.588,0.706393","235.337,403.748,0.778133","224.929,402.435,0.796623","222.312,382.872,0.712378",
"287.561,128.375,0.875566","269.288,141.439,0.850102","245.779,140.101,0.842186","244.539,194.917,0.868923","265.409,162.35,0.755372","294.125,145.341,0.779234","312.392,192.366,0.863863","316.24,163.59,0.738902","266.74,258.856,0.741819","249.724,261.479,0.666602","236.681,329.346,0.817666","224.901,381.504,0.869976","286.266,256.284,0.75166","305.821,318.895,0.817112","309.807,389.381,0.756197","284.934,120.506,0.885187","294.081,120.579,0.759519","268.031,110.16,0.884849","0,0,0","316.259,412.872,0.784044","322.821,411.487,0.75287","307.164,395.886,0.71601","235.348,403.738,0.778831","224.937,402.433,0.802383","222.296,382.882,0.701791",
