Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"355.444,95.7336,0.763685","339.763,129.639,0.793048","317.57,124.486,0.68694","308.454,161.036,0.689417","329.364,127.09,0.605465","364.558,130.967,0.746248","390.674,163.63,0.222188","0,0,0","338.417,224.953,0.661307","318.955,224.944,0.644978","317.568,307.1,0.805447","307.179,381.492,0.798627","352.82,224.973,0.609695","359.34,299.346,0.809803","350.211,369.722,0.852956","350.18,87.8938,0.90638","359.292,87.9444,0.606249","334.564,87.8714,0.815025","0,0,0","368.442,380.186,0.752065","369.743,376.308,0.724392","345.011,373.699,0.73615","313.66,399.754,0.744677","305.823,397.181,0.703901","307.169,385.438,0.588519",
"355.453,94.4725,0.770886","338.518,124.469,0.756508","317.536,120.561,0.737579","305.868,160.956,0.579728","328.002,129.727,0.603514","361.983,129.635,0.724135","389.358,157.109,0.169717","0,0,0","337.139,223.667,0.633939","318.88,223.659,0.641732","317.578,307.108,0.811848","307.172,381.5,0.784977","351.528,224.934,0.616898","359.339,299.355,0.807766","350.22,368.505,0.846719","350.189,87.9005,0.911016","359.301,87.953,0.592892","334.543,86.6468,0.80971","0,0,0","367.179,380.184,0.746674","369.729,376.285,0.720928","346.279,373.69,0.745378","313.658,399.772,0.739261","305.819,397.204,0.683832","307.16,385.445,0.57302",
"355.455,94.4682,0.752279","337.159,127.064,0.565532","317.548,123.186,0.489625","308.457,162.289,0.171324","327.985,128.392,0.170548","359.31,129.648,0.537108","0,0,0","0,0,0","334.548,223.664,0.576447","317.597,223.647,0.570699","317.593,307.152,0.804875","307.155,381.555,0.781439","350.227,224.926,0.595484","359.353,299.357,0.803035","350.217,368.497,0.845339","350.179,87.8931,0.893327","359.288,87.9412,0.523864","333.256,87.8592,0.771041","0,0,0","367.194,380.186,0.747317","369.73,376.293,0.726837","346.274,373.681,0.741748","313.66,399.771,0.735052","305.835,398.474,0.684612","307.123,388.048,0.577143",
"425.925,131.021,0.882316","474.182,151.867,0.798006","496.379,150.526,0.714329","0,0,0","0,0,0","450.702,153.219,0.712531","388.055,183.178,0.824648","339.731,171.391,0.740142","496.333,292.81,0.586585","511.995,288.896,0.482148","492.425,388.03,0.746837","528.972,455.931,0.685029","484.564,296.703,0.572613","425.934,389.336,0.690799","424.635,476.828,0.315283","0,0,0","432.345,121.841,0.906916","0,0,0","453.351,117.904,0.906269","0,0,0","0,0,0","427.216,476.839,0.1652","522.452,476.803,0.180909","519.867,476.806,0.156177","538.122,462.398,0.669109",
"423.277,131.011,0.95856","470.264,153.161,0.716084","485.966,151.827,0.611206","0,0,0","0,0,0","453.313,154.477,0.748986","393.292,184.498,0.786479","348.952,172.707,0.770232","496.319,291.489,0.570087","506.818,288.889,0.459593","487.224,388.044,0.763094","527.74,457.204,0.650562","485.897,295.407,0.548616","424.619,389.355,0.716209","429.793,476.831,0.266927","421.987,123.183,0.0866773","427.199,120.621,0.86794","0,0,0","451.947,117.896,0.852959","0,0,0","0,0,0","432.383,476.841,0.146166","527.7,476.804,0.204096","528.974,476.805,0.19339","538.118,462.421,0.637437",
"421.974,130.965,0.912516","463.757,150.59,0.700501","472.869,149.26,0.482248","416.756,202.752,0.0772088","390.676,181.871,0.171963","454.653,151.873,0.74454","412.886,193.673,0.548675","371.102,174.054,0.371298","496.353,287.559,0.563899","505.523,286.282,0.440104","485.89,385.427,0.770968","527.644,454.589,0.720024","487.25,288.872,0.536378","429.81,386.77,0.712021","431.07,476.821,0.529397","420.633,121.883,0.162981","425.882,120.595,0.872005","0,0,0","449.392,116.654,0.823158","423.302,476.837,0.103232","0,0,0","431.096,476.831,0.319778","525.068,476.798,0.223413","525.073,476.794,0.194276","536.811,457.242,0.684019",
"421.909,131.042,0.917765","467.645,151.856,0.687669","478.076,150.585,0.534214","427.206,193.618,0.200269","382.853,181.857,0.280371","458.503,151.877,0.763668","411.562,198.846,0.830354","369.776,174.053,0.777732","492.457,295.376,0.580397","500.288,292.801,0.46262","484.651,388.036,0.790155","527.724,457.216,0.683891","484.653,296.705,0.587348","432.362,389.342,0.711355","431.073,476.829,0.372845","419.349,123.163,0.0861529","423.281,120.612,0.926403","0,0,0","445.483,115.313,0.850903","0,0,0","0,0,0","432.371,476.838,0.214274","528.988,476.804,0.174178","531.596,476.811,0.157579","538.11,461.13,0.662504",
"419.348,132.28,0.861623","462.448,151.91,0.700501","455.914,153.164,0.573573","440.26,204.045,0.158957","407.646,190.995,0.248036","465.114,151.817,0.825332","435.011,213.171,0.850244","399.763,181.865,0.7389","491.147,292.788,0.565052","493.732,291.509,0.412584","481.99,386.769,0.747021","527.679,457.222,0.69184","488.554,295.37,0.5848","433.745,390.64,0.702692","432.39,476.828,0.372908","0,0,0","421.976,121.834,0.91606","0,0,0","444.182,114.004,0.895705","423.268,476.841,0.0736148","0,0,0","432.422,476.837,0.200964","527.675,476.808,0.159375","0,0,0","538.081,459.812,0.579041",
"418.081,134.902,0.833679","462.399,160.934,0.806825","445.457,162.319,0.762103","410.197,204.019,0.745879","364.573,201.43,0.656206","475.504,154.485,0.81","466.377,211.857,0.843511","423.25,193.571,0.714544","492.442,294.118,0.574577","493.734,294.118,0.405104","480.726,390.684,0.799245","526.429,455.896,0.685005","491.154,295.419,0.572551","433.747,391.981,0.731538","432.435,476.833,0.24021","415.457,128.356,0.0535522","421.947,125.752,0.866539","0,0,0","444.125,116.628,0.900997","0,0,0","0,0,0","433.691,476.844,0.110611","525.072,476.807,0.179471","522.477,476.811,0.157864","536.812,457.236,0.590109",
"416.761,136.224,0.827671","461.143,162.268,0.824505","442.855,170.128,0.730602","411.525,211.848,0.781775","368.477,197.555,0.742114","478.111,154.458,0.770773","487.271,204.041,0.870404","442.847,205.419,0.668325","493.713,294.118,0.586044","492.443,295.384,0.399996","483.325,389.338,0.773711","526.405,454.564,0.72815","492.463,295.403,0.582155","433.742,393.262,0.718858","432.427,476.833,0.202061","412.915,128.364,0.0570771","420.677,125.783,0.841538","0,0,0","442.858,117.894,0.896605","0,0,0","0,0,0","433.686,476.844,0.0857712","528.984,476.798,0.149553","540.719,476.794,0.146643","535.532,455.903,0.630737",
