Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
" 1230.68,  274.199,  0.840742"," 1330.79,  344.966,  0.78976"," 1286.73,  362.514,  0.692934"," 1242.51,  506.72,  0.791195"," 1233.81,  365.429,  0.64905"," 1374.95,  338.992,  0.794196"," 1283.79,  459.72,  0.834619"," 1260.22,  353.704,  0.80946"," 1345.6,  633.335,  0.54076"," 1319.12,  630.371,  0.451794"," 1351.33,  880.463,  0.721768"," 1377.9,  1074.89,  0.202056"," 1366.17,  639.158,  0.534375"," 1316.15,  877.537,  0.653556"," 1330.79,  1074.89,  0.185021"," 1230.77,  265.239,  0.0924367"," 1236.62,  253.575,  0.897415"," 0,  0,  0"," 1292.55,  247.827,  0.860246"," 0,  0,  0"," 0,  0,  0"," 1333.86,  1074.93,  0.0832279"," 0,  0,  0"," 0,  0,  0"," 1389.66,  1074.91,  0.0606459",
" 1233.7,  277.159,  0.877445"," 1330.79,  353.642,  0.820089"," 1286.67,  365.571,  0.723462"," 1239.7,  509.654,  0.771688"," 1233.61,  389.022,  0.671309"," 1377.86,  338.892,  0.810203"," 1298.5,  456.744,  0.796642"," 1263.15,  353.672,  0.776196"," 1348.56,  636.243,  0.577304"," 1321.99,  633.321,  0.503021"," 1351.37,  880.399,  0.71637"," 1377.94,  1074.89,  0.234311"," 1374.91,  636.262,  0.559137"," 1310.25,  868.767,  0.676226"," 1330.77,  1074.89,  0.254568"," 1233.83,  262.472,  0.0698713"," 1239.59,  253.689,  0.861401"," 0,  0,  0"," 1295.57,  247.864,  0.870852"," 0,  0,  0"," 0,  0,  0"," 1331,  1074.91,  0.121266"," 0,  0,  0"," 0,  0,  0"," 1386.78,  1074.91,  0.0721354",
" 1233.79,  274.246,  0.894704"," 1330.83,  350.724,  0.811966"," 1283.87,  365.526,  0.707538"," 1236.66,  506.842,  0.789444"," 1227.88,  389.105,  0.68647"," 1378,  336.056,  0.787068"," 1307.24,  456.574,  0.866132"," 1263.21,  344.819,  0.77857"," 1351.34,  639.2,  0.568681"," 1319.11,  636.272,  0.492878"," 1351.42,  880.435,  0.725562"," 1378.01,  1074.89,  0.246557"," 1375.01,  642.066,  0.552903"," 1307.3,  862.964,  0.701251"," 1330.96,  1074.89,  0.248726"," 1233.84,  262.388,  0.0903793"," 1242.54,  253.629,  0.846446"," 0,  0,  0"," 1298.51,  250.621,  0.869654"," 0,  0,  0"," 0,  0,  0"," 1336.81,  1074.92,  0.115811"," 0,  0,  0"," 0,  0,  0"," 1389.72,  1074.91,  0.0805632",
" 1233.82,  274.305,  0.879991"," 1330.8,  353.641,  0.812656"," 1283.72,  368.362,  0.682011"," 1233.77,  509.798,  0.809001"," 1227.87,  389.099,  0.695302"," 1380.87,  336.027,  0.776916"," 1313.15,  450.855,  0.822645"," 1263.26,  344.815,  0.78131"," 1348.52,  636.213,  0.587023"," 1316.14,  633.302,  0.523902"," 1345.51,  874.667,  0.689456"," 1377.97,  1074.9,  0.171655"," 1375.05,  636.255,  0.56793"," 1307.25,  859.943,  0.754489"," 1330.94,  1074.89,  0.232255"," 1233.84,  262.363,  0.113742"," 1245.48,  253.644,  0.824221"," 0,  0,  0"," 1304.22,  250.697,  0.870196"," 0,  0,  0"," 0,  0,  0"," 1339.63,  1074.92,  0.107209"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0",
" 1236.58,  274.287,  0.886578"," 1328.03,  353.704,  0.824892"," 1280.73,  368.433,  0.685068"," 1233.56,  512.583,  0.80199"," 1227.78,  388.921,  0.777925"," 1383.8,  336.043,  0.765998"," 1321.95,  444.898,  0.800682"," 1266.13,  347.827,  0.769636"," 1351.35,  639.154,  0.598964"," 1316.1,  636.26,  0.538152"," 1342.67,  871.646,  0.70059"," 1378.04,  1074.87,  0.302789"," 1377.98,  639.179,  0.568835"," 1304.38,  856.997,  0.764613"," 1348.55,  1074.88,  0.246631"," 1233.8,  256.632,  0.150777"," 1248.43,  253.592,  0.834806"," 0,  0,  0"," 1304.27,  253.575,  0.874874"," 0,  0,  0"," 0,  0,  0"," 1351.53,  1074.9,  0.136778"," 0,  0,  0"," 0,  0,  0"," 1392.7,  1074.89,  0.129953",
" 1236.59,  274.29,  0.877658"," 1330.79,  353.713,  0.82091"," 1280.75,  368.407,  0.689216"," 1233.66,  512.6,  0.814353"," 1224.88,  386.069,  0.772323"," 1386.82,  336.071,  0.760636"," 1324.93,  439.159,  0.828243"," 1269,  350.697,  0.747838"," 1351.47,  636.203,  0.613699"," 1316.13,  633.335,  0.553118"," 1339.71,  859.968,  0.717816"," 1377.95,  1074.79,  0.381723"," 1380.93,  636.207,  0.555974"," 1307.29,  856.875,  0.749652"," 1351.53,  1074.87,  0.254283"," 1233.83,  259.475,  0.141128"," 1248.46,  253.638,  0.832555"," 0,  0,  0"," 1307.18,  250.798,  0.886723"," 0,  0,  0"," 0,  0,  0"," 1354.33,  1074.88,  0.118137"," 1383.81,  1074.89,  0.0677083"," 1377.94,  1074.91,  0.0704752"," 1392.7,  1074.82,  0.244358",
" 1236.55,  274.322,  0.884481"," 1330.79,  350.781,  0.828006"," 1277.85,  365.477,  0.695641"," 1233.63,  506.89,  0.810841"," 1227.76,  386.014,  0.765904"," 1392.64,  336.055,  0.772292"," 1327.91,  441.988,  0.862485"," 1272.01,  347.813,  0.752976"," 1351.37,  633.266,  0.626709"," 1310.34,  633.287,  0.580251"," 1339.64,  856.984,  0.695051"," 1383.81,  1024.83,  0.420338"," 1380.92,  630.395,  0.566318"," 1310.26,  853.952,  0.694079"," 1369.1,  1074.87,  0.201812"," 1233.83,  262.399,  0.214398"," 1251.36,  253.663,  0.831573"," 0,  0,  0"," 1304.45,  250.78,  0.879958"," 0,  0,  0"," 0,  0,  0"," 1374.99,  1074.86,  0.0736285"," 1354.35,  1074.84,  0.0758024"," 1357.31,  1074.89,  0.0837967"," 1404.43,  1030.66,  0.291823",
" 1236.58,  274.206,  0.89389"," 1330.79,  356.642,  0.835475"," 1274.89,  368.394,  0.679828"," 1233.74,  506.8,  0.822551"," 1230.7,  386.126,  0.753118"," 1395.52,  338.942,  0.794112"," 1330.82,  450.868,  0.86109"," 1274.86,  344.9,  0.762743"," 1351.4,  639.143,  0.608494"," 1313.16,  636.246,  0.560097"," 1313.2,  845.233,  0.507349"," 1375.01,  1021.78,  0.43766"," 1380.91,  639.191,  0.558786"," 1330.84,  857,  0.682086"," 1377.93,  1074.84,  0.241096"," 1236.59,  256.57,  0.188398"," 1254.24,  253.619,  0.857326"," 0,  0,  0"," 1307.24,  250.747,  0.900048"," 0,  0,  0"," 0,  0,  0"," 1386.81,  1074.85,  0.110979"," 1327.89,  1039.46,  0.14558"," 1325.01,  1030.61,  0.137042"," 1407.34,  1021.88,  0.286681",
" 1236.68,  271.357,  0.904885"," 1330.89,  359.464,  0.842842"," 1274.91,  368.396,  0.697456"," 1236.53,  506.796,  0.833242"," 1230.79,  386.109,  0.776082"," 1398.48,  339.056,  0.838103"," 1330.74,  456.795,  0.904272"," 1280.71,  347.829,  0.793077"," 1351.43,  636.254,  0.614939"," 1310.28,  636.257,  0.574053"," 1327.83,  859.903,  0.578085"," 1389.67,  1042.42,  0.460387"," 1383.88,  636.276,  0.547633"," 1336.74,  868.775,  0.620528"," 1395.56,  1074.82,  0.25799"," 1236.61,  250.797,  0.196666"," 1257.15,  250.752,  0.892176"," 0,  0,  0"," 1310.25,  253.61,  0.865313"," 0,  0,  0"," 0,  0,  0"," 1401.47,  1074.83,  0.131802"," 1348.49,  1051.32,  0.100223"," 0,  0,  0"," 1416.14,  1048.24,  0.249611",
" 1239.57,  271.305,  0.879998"," 1330.92,  359.534,  0.853885"," 1274.96,  368.406,  0.692686"," 1236.67,  506.754,  0.83223"," 1233.61,  388.922,  0.777647"," 1398.5,  341.808,  0.834663"," 1330.78,  462.538,  0.880628"," 1280.94,  350.754,  0.794255"," 1351.38,  642.103,  0.61488"," 1310.31,  642.13,  0.567809"," 1330.88,  859.982,  0.583847"," 1377.94,  1074.82,  0.379568"," 1380.92,  642.076,  0.556158"," 1354.28,  877.548,  0.696722"," 1404.5,  1074.87,  0.260936"," 1236.76,  250.755,  0.222847"," 1257.29,  250.699,  0.913747"," 0,  0,  0"," 1310.29,  253.605,  0.848565"," 0,  0,  0"," 0,  0,  0"," 1419.09,  1074.89,  0.129492"," 1345.58,  1074.81,  0.0786721"," 1345.6,  1074.86,  0.082236"," 1380.94,  1074.88,  0.210944",
