Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"0.86589, 1307.44, 253.578","1416.24, 0.782678, 338.983","0.605608, 330.12, 1351.54","0.197959, 409.528, 1298.42","0.356346, 1301.41, 383.094","0.731614, 1475.09, 341.948","0.770861, 1386.73, 509.684","0.7518, 347.779, 1339.71","0.541744, 1395.63, 662.739","1336.72, 0.566834, 650.948","0.788285, 842.226, 1245.46","0.680727, 1051.31, 1327.81","0.490578, 1451.56, 671.606","0.692624, 933.507, 1486.85",0,"1304.49, 0.697617, 230.142","0.908533, 1330.91, 227.203",0,"0.83544, 1401.54, 233.016",0,0,0,"0.123868, 1074.89, 1307.27",0,"0.471596, 1074.83, 1333.78",
"0.92816, 1307.25, 247.871","0.774398, 339.024, 1404.46","0.703343, 1354.29, 342.042","1304.29, 0.582935, 486.152","0.663068, 1286.67, 391.919","0.731427, 333.078, 1469.07","0.853966, 1377.85, 503.694","0.777612, 1333.86, 350.756","1392.62, 0.54344, 662.686","0.598819, 650.931, 1333.75","0.803383, 1242.55, 839.392","0.701473, 1330.82, 1051.33","0.51085, 668.646, 1445.7","0.664279, 1492.66, 942.354",0,"1304.22, 0.821747, 227.139","224.27, 0.957692, 1330.76",0,"0.838832, 227.218, 1398.52",0,0,0,"0.111994, 1074.9, 1324.94",0,"0.461548, 1345.59, 1074.84",
"0.855304, 1310.24, 262.477","0.822334, 1419.16, 342.02","0.691326, 338.968, 1348.56","0.45793, 1242.53, 412.566","0.441629, 394.853, 1230.76","0.70991, 1489.69, 350.754","0.786951, 1398.4, 518.48","0.811867, 362.505, 1351.45","0.593999, 668.649, 1398.56","0.579867, 1339.7, 659.744","0.782593, 1251.38, 845.184","0.640739, 1074.8, 1316.15","680.397, 1457.43, 0.518794","936.47, 0.691658, 1486.8",0,"0.770048, 241.818, 1307.26","0.87443, 1331.02, 238.901",0,"0.840661, 241.79, 1404.51",0,0,0,"0.151852, 1074.8, 1271.99","0.17843, 1074.81, 1277.87","0.473578, 1074.86, 1327.89",
"0.889486, 268.168, 1310.3","0.765683, 347.837, 1413.26","0.720729, 1330.95, 341.824","1224.84, 0.703937, 374.272","0.570714, 1145.42, 362.447","0.748695, 362.437, 1492.65","0.835207, 1401.56, 524.356","0.848885, 1354.39, 365.391","680.369, 0.563573, 1398.6","0.570205, 668.667, 1342.58","856.848, 1257.15, 0.83314","0.719702, 1074.8, 1307.36","0.514211, 692.115, 1460.31","0.698294, 1489.74, 948.149",0,"0.77617, 244.719, 1310.2","0.914871, 244.719, 1333.89",0,"0.888411, 247.706, 1407.42",0,0,0,"0.150538, 1074.86, 1286.67",0,"0.499242, 1074.86, 1319.04",
"0.926492, 1307.46, 268.284","0.780535, 356.655, 1413.31","0.702506, 341.806, 1327.94","0.812386, 341.905, 1198.43","0.742515, 1092.42, 318.508","0.758289, 1492.8, 365.487","0.828838, 527.281, 1407.4","0.801436, 365.485, 1357.34","680.401, 1401.38, 0.575684","0.587443, 1342.64, 671.585","0.841228, 859.874, 1260.17","1304.45, 0.742299, 1074.83","0.52937, 692.121, 1463.24","0.730375, 948.201, 1492.56",0,"0.617824, 1307.48, 244.852","0.932256, 244.828, 1333.74",0,"0.890977, 1404.49, 247.797",0,0,0,"0.125535, 1289.63, 1074.9",0,"0.47198, 1074.87, 1310.34",
"0.936091, 1307.32, 268.238","0.768307, 353.672, 1413.24","0.70203, 339.046, 1324.97","0.858478, 1186.72, 342.043","312.46, 0.725297, 1098.3","0.769223, 365.411, 1495.61","1416.24, 0.808353, 524.412","0.808122, 1372.02, 365.458","0.565891, 683.359, 1398.41","0.590733, 1333.82, 671.621","0.759983, 1266.07, 860.06","0.578617, 1074.84, 1307.25","0.531763, 692.188, 1454.51","0.767714, 930.54, 1492.57",0,"0.567775, 1307.29, 244.699","0.9235, 1330.91, 244.717",0,"0.894578, 1404.51, 247.61",0,0,0,"1304.38, 1074.9, 0.128546","0.114811, 1074.91, 1301.38","0.319348, 1313.27, 1074.89",
"0.910749, 265.3, 1307.3","0.867147, 347.82, 1398.64","0.810411, 1307.35, 341.806","0.850403, 1186.66, 380.151","0.745744, 321.349, 1130.73","0.760378, 1489.7, 362.5","0.809624, 521.397, 1419.14","0.874345, 365.466, 1374.97","0.579836, 1386.8, 671.628","1328.01, 0.634152, 668.525","1280.78, 0.757545, 862.88","0.652106, 1074.85, 1307.18","1448.51, 0.558557, 680.378","1480.91, 0.715139, 912.943",0,"1304.49, 0.644207, 244.624","0.919488, 241.851, 1330.76",0,"0.885162, 1401.5, 244.836",0,0,0,"0.141698, 1074.9, 1295.55","0.12496, 1074.91, 1295.51","0.355927, 1074.89, 1310.34",
"1304.37, 0.894122, 253.608","0.860124, 342.083, 1398.45","0.819818, 339.014, 1307.29","0.87813, 1210.21, 415.514","0.78712, 362.615, 1180.7","0.696344, 353.689, 1478","0.809577, 1404.47, 509.718","0.768217, 1369.1, 353.732","0.619322, 668.638, 1375.09","0.57673, 662.734, 1319.05","1280.9, 857.061, 0.791013","0.637638, 1074.85, 1307.23","0.547685, 674.469, 1436.81","0.68256, 1475.08, 907.045","0.0651936, 1074.9, 1557.53","1304.26, 0.45224, 238.865","0.870533, 233.025, 1325.01",0,"0.772934, 233.025, 1389.66",0,0,0,"0.147145, 1074.9, 1301.43","0.130116, 1298.44, 1074.9","0.35112, 1313.17, 1074.89",
"0.83148, 1298.44, 250.736","0.832786, 1386.8, 341.862","0.83239, 338.923, 1307.26","0.814279, 453.745, 1239.62","1216.13, 0.803521, 389.106","0.778991, 341.891, 1469.14","0.793417, 1395.61, 500.752","0.817428, 1354.44, 339.067","0.595567, 1369.04, 659.807","0.632867, 650.975, 1307.32","1280.84, 857.061, 0.756345","1304.47, 0.714937, 1074.83","0.593836, 1425.06, 668.532","1472.23, 0.67737, 910.045","0.0705349, 1545.69, 1074.9","0.441466, 233.001, 1292.6","0.835038, 1316.14, 230.038",0,"0.816765, 241.733, 1383.87",0,0,0,"0.146218, 1074.89, 1292.59","0.137588, 1074.88, 1286.7","0.445284, 1313.15, 1074.87",
"0.876101, 250.785, 1283.74","0.880077, 338.991, 1375.11","1304.28, 0.815791, 341.849","1280.91, 480.342, 0.790427","392.024, 0.714652, 1236.56","1448.66, 0.731756, 335.948","0.839061, 1377.85, 483.269","336.022, 1345.58, 0.772196","656.861, 0.546891, 1363.23","1304.47, 0.593298, 650.976","856.948, 0.75059, 1263.17","1304.43, 0.682414, 1074.8","0.546937, 662.74, 1422.17","0.708369, 1466.16, 907.03","0.0956326, 1074.89, 1542.74","1280.9, 233.009, 0.453484","1304.43, 0.910955, 227.212",0,"0.758777, 233.008, 1366.21",0,0,0,"1280.79, 1074.87, 0.133755",0,"0.488112, 1313.17, 1074.86",
