Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"0.865579, 197.694, 1230.81","256.536, 0.542196, 1354.46","0.365604, 1354.37, 250.663","1280.82, 0.0669325, 397.818",0,"256.555, 0.640715, 1354.48","0.801583, 1260.35, 421.391","288.951, 1233.84, 0.82378","0.495455, 609.754, 1378","0.403719, 1354.47, 606.846","0.492933, 1330.78, 862.918","0.489662, 1313.23, 1074.81","0.506004, 612.721, 1398.61","904.023, 0.548321, 1357.43",0,0,"0.856861, 1242.54, 171.214",0,"0.867156, 162.361, 1307.4",0,0,0,"0.166062, 1074.8, 1269.01","0.173377, 1051.26, 1263.2","0.303578, 1074.88, 1325",
"200.762, 1233.6, 0.852839","0.615896, 1342.63, 271.203","0.413579, 274.252, 1319.06","0.0902833, 409.601, 1263.18",0,"1360.27, 265.399, 0.652544","415.601, 0.779501, 1263.19","0.830429, 1233.83, 291.815","0.509759, 615.606, 1375.03","612.706, 0.428547, 1348.54","0.574337, 1324.92, 853.98","0.590056, 1074.8, 1307.45","0.500685, 618.547, 1398.55","0.585711, 1354.31, 895.251","0.0552646, 1074.9, 1421.97",0,"0.875775, 174.139, 1239.61",0,"168.241, 0.877223, 1307.29",0,0,0,"0.179958, 1074.79, 1260.21","0.198922, 1051.22, 1260.15","0.410224, 1321.99, 1074.86",
"0.824029, 1233.7, 215.329","0.625324, 1339.67, 277.136","0.453649, 1310.25, 286.005","0.0851884, 406.687, 1263.2",0,"0.652417, 1363.23, 271.326","0.748778, 1266.07, 421.388","0.821922, 297.771, 1236.61","0.437136, 609.728, 1366.15","1336.72, 0.328867, 600.991","848.153, 1322.06, 0.408214","0.574213, 1074.81, 1310.21","0.505281, 618.554, 1380.87","880.523, 0.463193, 1333.88","0.0664223, 1074.9, 1422.19","0.0766331, 1233.72, 194.609","0.839653, 182.974, 1239.69",0,"1304.4, 177.115, 0.884592",0,0,0,"0.0984048, 1074.8, 1263.1","0.109493, 1074.81, 1271.95","0.372737, 1322.03, 1074.87",
"0.767478, 233.006, 1230.67","0.554517, 1348.5, 294.884","0.374321, 1330.91, 294.787","0.108012, 1242.61, 453.695","0.0620732, 338.925, 1213.23","0.660303, 1354.38, 294.887","0.732054, 1277.81, 439.032","312.491, 0.753339, 1239.59","624.477, 1354.38, 0.433888","0.350808, 618.582, 1327.86","883.541, 0.470329, 1307.25","0.421165, 1321.99, 1074.87","0.452691, 1377.88, 636.215","0.598076, 1330.88, 907.095",0,"1224.87, 0.0766899, 212.367","0.858228, 203.595, 1236.75",0,"197.773, 0.849888, 1301.41",0,0,0,"0.0767072, 1074.88, 1295.51","0.0664696, 1074.9, 1295.52","0.18632, 1074.9, 1325.01",
"0.788163, 1230.66, 247.826","0.548717, 1345.59, 318.302","0.384163, 321.315, 1316.15","480.25, 0.166951, 1245.49","0.0681713, 1236.7, 383.116","0.632552, 1369.07, 315.337","0.737651, 1292.57, 462.619","0.736492, 338.871, 1245.49","648.06, 0.462802, 1351.42","0.38119, 1324.98, 647.992","0.564154, 1298.51, 907.079","0.239779, 1074.88, 1327.82","0.454956, 653.931, 1374.95","0.67758, 921.738, 1327.99",0,"0.103685, 1219.09, 227.198","224.251, 0.885794, 1236.78",0,"224.08, 0.882407, 1301.47",0,0,0,0,0,"0.079004, 1330.78, 1074.91",
"0.790413, 268.427, 1230.67","0.637219, 1345.56, 338.943","344.89, 1307.39, 0.4814","0.215862, 489.112, 1242.55","0.117138, 1218.99, 365.442","0.675246, 327.244, 1375.01","1304.32, 0.825461, 483.231","1248.46, 0.750413, 359.549","0.51913, 668.649, 1342.67","0.477803, 665.681, 1310.25","0.578676, 907.04, 1286.7","0.178555, 1330.73, 1074.89","0.480387, 674.474, 1374.96","936.417, 0.689195, 1327.86",0,"0.144022, 1219.01, 247.818","0.906383, 1236.72, 244.752",0,"0.857064, 241.858, 1301.36",0,0,0,0,0,"0.0505051, 1074.91, 1333.78",
"283.059, 0.790959, 1219.08","0.785622, 1330.9, 359.568","368.4, 0.702596, 1286.65","0.755008, 1233.81, 506.79","368.484, 0.753466, 1210.27","0.767517, 1377.94, 341.977","0.861825, 1307.24, 503.893","0.787379, 371.389, 1254.27","0.558096, 1348.42, 671.616","0.538014, 1307.36, 671.585","0.585381, 1266.07, 898.197","0.249055, 1330.96, 1074.87","0.518127, 1378.01, 677.414","0.728874, 930.608, 1307.29","1392.6, 1074.9, 0.0618117","0.0892623, 1219.02, 262.427","256.544, 1233.79, 0.875478",0,"0.836565, 1298.43, 250.788",0,0,0,0,0,"0.114648, 1345.6, 1074.89",
"1216.01, 0.843727, 288.915","0.844765, 1330.76, 362.601","368.453, 0.698741, 1277.87","0.75847, 1233.64, 515.59","0.712898, 1210.13, 371.374","0.701373, 1386.78, 356.585","0.829165, 1310.33, 503.898","0.820233, 1257.19, 385.92","0.592655, 1348.48, 671.606","0.580216, 1307.32, 671.522","0.680534, 1257.18, 883.503","0.294373, 1074.87, 1327.88","0.539601, 1380.94, 677.425","1304.28, 0.752675, 930.495","0.0534618, 1074.9, 1398.47","0.2045, 268.332, 1213.23","0.914435, 1233.81, 265.414",0,"0.880485, 1298.51, 268.167",0,0,0,"1304.3, 1074.87, 0.0589504",0,"1336.78, 1074.9, 0.135939",
"1216.05, 0.843355, 288.839","1328, 0.848317, 362.537","368.437, 0.699216, 1277.8","512.676, 1233.6, 0.797585","0.746652, 1210.08, 380.161","0.719166, 347.828, 1383.87","0.816614, 1313.16, 503.776","0.824579, 1257.28, 385.997","0.612371, 1348.54, 677.436","1304.42, 0.614763, 674.489","0.647721, 1257.22, 877.581","0.219601, 1074.87, 1327.94","1392.62, 0.550271, 683.321","1304.42, 0.797923, 930.561",0,"1216.15, 265.411, 0.15837","0.899273, 265.344, 1236.54",0,"0.873102, 265.449, 1298.51",0,0,0,0,0,"0.0865541, 1074.9, 1333.89",
"0.770731, 277.227, 1221.99","0.788934, 1330.93, 356.577","1280.77, 0.737466, 362.473","0.80893, 1233.85, 506.827","0.708255, 1210.26, 380.116","1392.68, 0.726093, 342.069","0.779917, 497.915, 1319.03","0.83077, 1260.15, 365.589","0.646004, 668.614, 1351.4","0.645188, 665.692, 1307.24","0.653639, 871.727, 1263.23","0.16103, 1330.79, 1074.89","1392.7, 0.571475, 671.619","0.698069, 1313.23, 918.834",0,"256.577, 1219.08, 0.118256","0.864541, 1236.7, 253.569",0,"0.822466, 250.768, 1301.47",0,0,0,0,0,0,
