Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"1277.89,262.383,0.831254","1380.96,344.813,0.781212","1330.91,353.65,0.68654","1266.12,483.099,0.486935","1277.84,403.68,0.291069","1439.68,341.837,0.744707","1327.91,480.105,0.838097","1301.44,344.946,0.796953","1369.07,650.991,0.56211","1316.11,648.08,0.560306","1280.7,859.931,0.770432","1289.63,1074.82,0.65082","1419.13,656.828,0.538808","1425.02,903.973,0.773058","0,0,0","1277.92,238.828,0.136111","1286.78,241.75,0.851033","0,0,0","1354.4,241.731,0.885532","0,0,0","0,0,0","0,0,0","1280.77,1074.89,0.139079","0,0,0","1301.36,1074.87,0.429607",
"1280.77,259.468,0.865891","1378.05,342.068,0.803016","1327.89,344.879,0.679321","1236.78,459.658,0.421238","1236.79,386.066,0.225662","1445.51,341.953,0.756006","1333.78,480.276,0.858833","1304.45,344.932,0.77533","1366.13,653.925,0.549488","1313.19,650.945,0.54774","1280.85,862.866,0.759581","1292.59,1074.86,0.457479","1419.06,659.786,0.535088","1422,903.973,0.746262","0,0,0","1280.76,241.787,0.163966","1295.57,238.921,0.830793","0,0,0","1357.37,241.798,0.872916","0,0,0","0,0,0","0,0,0","1286.69,1074.9,0.110227","1289.63,1074.91,0.0881255","1304.25,1074.89,0.233892",
"1283.71,265.299,0.87676","1378,342.003,0.865791","1316.19,339.064,0.708549","1230.79,403.77,0.44445","1210.17,386.015,0.483932","1445.68,344.815,0.780874","1336.73,480.276,0.830961","1310.3,341.829,0.806301","1360.25,653.895,0.581024","1307.42,648.102,0.596873","1280.93,860.012,0.763657","1289.72,1074.87,0.45589","1416.14,659.765,0.55307","1419.17,909.98,0.699572","0,0,0","1280.92,244.834,0.267273","1301.35,241.87,0.87993","0,0,0","1360.23,241.88,0.883176","0,0,0","0,0,0","0,0,0","1283.8,1074.9,0.098263","1286.74,1074.91,0.0807068","1301.42,1074.9,0.226769",
"1283.72,268.239,0.904263","1377.86,347.756,0.858172","1304.42,341.933,0.733163","1186.55,368.441,0.79979","1110.14,339.064,0.741095","1448.49,353.693,0.747517","1339.67,483.253,0.803195","1319.1,342.033,0.741148","1357.39,656.844,0.57594","1307.39,650.99,0.585551","1280.82,862.936,0.769891","1292.63,1074.87,0.401089","1413.23,659.813,0.55523","1404.53,906.966,0.712943","1469.24,1074.9,0.0648719","1283.64,247.701,0.316528","1304.18,244.864,0.934311","0,0,0","1363.26,244.704,0.886208","0,0,0","0,0,0","0,0,0","1289.66,1074.9,0.100242","1292.61,1074.91,0.0797753","1301.44,1074.9,0.194948",
"1283.68,268.439,0.892945","1378.02,344.955,0.832339","1307.38,338.833,0.692528","1171.89,338.957,0.775919","1060.08,315.444,0.600706","1448.54,362.595,0.765525","1333.89,486.217,0.786529","1319.06,356.588,0.761361","1357.35,656.864,0.599578","1307.36,653.88,0.604862","1277.82,865.846,0.708463","1289.7,1074.87,0.471949","1410.28,662.699,0.566253","1401.63,910.017,0.724524","1472.03,1074.9,0.0516177","1280.96,247.777,0.29835","1301.45,247.819,0.913388","0,0,0","1366.17,247.72,0.904128","0,0,0","0,0,0","0,0,0","1295.52,1074.9,0.110904","1295.56,1074.91,0.092449","1301.35,1074.9,0.233403",
"1283.74,271.394,0.885706","1383.84,347.801,0.773014","1321.99,336.086,0.648579","1168.99,338.847,0.810624","1045.26,297.839,0.740554","1448.55,365.473,0.764323","1333.9,494.986,0.771169","1324.85,359.574,0.801697","1354.48,665.64,0.599554","1307.3,656.854,0.592033","1269.01,865.864,0.686855","1289.68,1074.87,0.476338","1404.39,668.644,0.561933","1398.6,909.949,0.755759","1469.26,1074.9,0.0614252","1280.93,250.635,0.136047","1301.44,250.666,0.89778","0,0,0","1366.21,247.873,0.88944","0,0,0","0,0,0","0,0,0","1295.53,1074.9,0.116038","1298.46,1074.91,0.0969082","1298.5,1074.89,0.242045",
"1283.76,271.424,0.898763","1383.83,356.633,0.784452","1310.26,339.091,0.695529","1171.94,347.838,0.754698","1083.62,318.251,0.7042","1451.49,365.617,0.741299","1336.72,503.695,0.797756","1324.89,362.377,0.809217","1351.45,668.575,0.606045","1304.22,659.763,0.585725","1260.24,865.784,0.780754","1292.6,1074.85,0.587448","1401.42,674.493,0.563002","1395.63,904.069,0.756369","1469.12,1074.89,0.0916993","1280.9,250.681,0.138902","1301.43,250.674,0.901331","0,0,0","1366.2,247.899,0.89213","0,0,0","0,0,0","0,0,0","1295.53,1074.89,0.14438","1295.5,1074.91,0.126103","1301.35,1074.89,0.345101",
"1283.69,271.401,0.896555","1378.07,359.462,0.827547","1307.41,341.874,0.757352","1189.61,385.972,0.859762","1118.88,338.922,0.757913","1448.65,365.606,0.755339","1339.68,503.778,0.799504","1321.98,362.393,0.791207","1348.46,665.636,0.602178","1298.42,653.922,0.59529","1260.17,862.829,0.768025","1292.56,1074.85,0.609153","1398.47,671.563,0.584774","1395.54,906.967,0.767539","0,0,0","1280.93,250.721,0.156022","1301.42,250.711,0.88916","0,0,0","1366.2,250.619,0.883099","0,0,0","0,0,0","0,0,0","1292.59,1074.9,0.14269","1289.64,1074.91,0.123746","1301.36,1074.89,0.364163",
"1283.68,271.373,0.888149","1380.94,356.615,0.804702","1322.04,341.841,0.755176","1227.8,424.289,0.790982","1177.76,380.205,0.723177","1448.61,365.523,0.769952","1339.69,503.735,0.810085","1313.26,356.629,0.769878","1348.49,659.783,0.605451","1298.5,650.994,0.611367","1257.37,859.919,0.788483","1289.68,1074.86,0.543985","1398.42,665.708,0.587501","1392.62,903.973,0.746111","1469,1074.9,0.055717","1280.95,250.808,0.26495","1301.4,250.642,0.893903","0,0,0","1366.14,250.684,0.870624","0,0,0","0,0,0","0,0,0","1289.67,1074.9,0.127925","1289.65,1074.92,0.104216","1298.49,1074.89,0.292564",
"1280.82,271.382,0.913198","1380.85,359.504,0.808511","1324.99,344.814,0.709067","1260.27,465.488,0.649966","1216.07,406.706,0.562465","1445.68,365.415,0.779857","1336.69,500.89,0.804274","1310.24,356.573,0.796907","1348.42,653.919,0.60438","1295.52,648.054,0.60932","1257.19,857.018,0.759842","1289.62,1074.85,0.587218","1395.65,662.722,0.588255","1392.67,907.042,0.720352","1466.26,1074.9,0.0525519","1280.82,250.77,0.188311","1295.55,250.745,0.847941","0,0,0","1357.45,250.792,0.851241","0,0,0","0,0,0","0,0,0","1286.76,1074.9,0.130898","1283.79,1074.91,0.108482","1298.48,1074.89,0.335573",
"1277.87,271.38,0.871471","1380.84,356.607,0.78781","1327.86,344.899,0.693021","1289.71,483.26,0.539548","1257.21,412.671,0.669498","1445.55,362.449,0.763873","1330.88,492.077,0.807067","1307.26,344.921,0.788828","1351.33,648.085,0.631238","1301.36,645.081,0.620613","1257.12,857.04,0.729394","1289.7,1074.86,0.551562","1398.55,653.95,0.606906","1389.72,904.06,0.696554","1466.19,1074.9,0.0562126","1277.81,250.709,0.25289","1292.57,250.749,0.852026","0,0,0","1357.32,250.765,0.862726","0,0,0","0,0,0","0,0,0","1292.56,1074.9,0.129113","1292.58,1074.91,0.107313","1301.34,1074.89,0.303988",
"1257.36,268.446,0.898834","1363.22,344.933,0.776051","1304.44,344.892,0.662468","1260.29,480.195,0.297083","1233.76,386.065,0.197369","1425.04,344.907,0.765115","1316.15,480.335,0.79435","1286.8,341.951,0.727422","1345.53,659.785,0.554394","1286.76,650.974,0.571089","1274.94,880.545,0.753833","1292.6,1074.88,0.390757","1398.54,665.649,0.558478","1407.43,906.954,0.691723","1469.16,1074.9,0.0539203","1257.34,247.797,0.321613","1277.92,247.834,0.90609","0,0,0","1339.71,253.628,0.840001","0,0,0","0,0,0","0,0,0","1292.6,1074.9,0.0817969","1298.49,1074.92,0.0674465","1301.39,1074.9,0.170221",
"1260.1,271.186,0.909978","1360.27,342.072,0.826283","1301.42,341.897,0.752475","1236.59,474.361,0.787811","1213.21,386.078,0.745838","1425.09,344.856,0.766786","1322.02,480.272,0.807559","1289.59,338.968,0.753513","1348.52,659.766,0.587275","1292.63,651.014,0.576561","1280.8,883.555,0.754481","1292.64,1074.88,0.305659","1401.39,665.606,0.584566","1407.44,898.214,0.668105","1469.21,1074.9,0.0698838","1257.35,247.85,0.253509","1277.89,247.827,0.898793","0,0,0","1336.74,250.722,0.855438","0,0,0","0,0,0","0,0,0","1298.46,1074.9,0.0661009","1301.42,1074.92,0.0519683","1301.35,1074.9,0.121855",
"1257.36,271.203,0.916837","1360.29,350.704,0.784457","1304.28,350.801,0.725055","1213.11,436.126,0.838326","1171.88,386.026,0.744141","1425.08,344.925,0.755553","1327.97,483.208,0.846986","1295.53,341.864,0.788531","1351.31,656.86,0.57102","1298.47,650.94,0.566428","1280.89,877.58,0.756953","1292.56,1074.88,0.301401","1398.56,662.762,0.563436","1419.03,906.965,0.69681","1469.22,1074.9,0.061671","1257.36,247.845,0.247262","1277.81,247.76,0.904452","0,0,0","1336.78,250.655,0.869734","0,0,0","0,0,0","0,0,0","1289.66,1074.9,0.0612548","0,0,0","1298.46,1074.91,0.119107",
"1257.37,271.322,0.900354","1357.45,344.918,0.816777","1289.64,344.85,0.705624","1174.86,388.931,0.828365","1098.42,341.902,0.806273","1428.01,347.848,0.719248","1330.76,483.24,0.841097","1304.29,342.028,0.749802","1351.41,665.635,0.602852","1301.39,656.886,0.588998","1280.82,874.623,0.769663","1292.61,1074.88,0.378688","1401.43,668.552,0.57232","1410.31,889.342,0.693334","1469.24,1074.9,0.103481","1257.33,250.662,0.216652","1274.97,247.849,0.882902","0,0,0","1336.74,250.718,0.858326","0,0,0","0,0,0","0,0,0","1289.64,1074.9,0.0782175","1298.46,1074.92,0.0631765","1298.49,1074.9,0.164827",
"1257.35,271.359,0.910452","1363.27,342.039,0.812898","1292.61,338.816,0.656825","1154.26,341.991,0.758328","1030.65,324.302,0.55823","1430.93,359.571,0.714732","1330.79,486.177,0.82347","1304.38,347.776,0.748658","1351.56,651.003,0.619499","1304.28,648.039,0.620568","1280.93,877.5,0.779682","1292.6,1074.87,0.45141","1401.53,656.855,0.58411","1407.41,889.397,0.707473","1472.08,1074.9,0.0854804","1257.33,250.753,0.160704","1274.9,250.688,0.865543","0,0,0","1336.79,250.758,0.851083","0,0,0","0,0,0","0,0,0","1286.7,1074.9,0.0970406","1289.68,1074.92,0.0779172","1301.37,1074.9,0.212717",
"1257.35,271.383,0.909161","1360.27,342.02,0.830794","1286.74,333.135,0.676092","1151.34,336.041,0.764453","1024.69,303.656,0.786055","1433.82,362.488,0.738014","1330.96,497.857,0.810416","1304.3,344.929,0.752995","1351.49,659.779,0.605617","1301.47,653.891,0.589631","1280.85,877.555,0.786054","1292.55,1074.87,0.526043","1401.51,665.615,0.582241","1407.4,889.424,0.711193","1472.07,1074.9,0.0693939","1257.33,250.723,0.194357","1274.87,250.757,0.856295","0,0,0","1336.7,250.758,0.856775","0,0,0","0,0,0","0,0,0","1286.73,1074.9,0.113906","1289.62,1074.92,0.0932471","1301.4,1074.89,0.267696",
"1257.33,271.39,0.916859","1360.24,344.957,0.808986","1283.78,338.865,0.733126","1151.34,353.675,0.764536","1048.34,315.394,0.796941","1436.75,362.639,0.741279","1333.79,503.789,0.824607","1304.28,350.728,0.755904","1351.39,665.637,0.613502","1301.34,656.882,0.590809","1277.91,868.765,0.757024","1292.55,1074.87,0.448562","1401.43,668.593,0.590101","1413.21,901.054,0.699407","1469.31,1074.9,0.0612189","1257.33,250.725,0.169425","1274.85,250.691,0.870069","0,0,0","1333.87,250.682,0.88187","0,0,0","0,0,0","0,0,0","1286.71,1074.9,0.0893666","1292.58,1074.92,0.0736975","1298.51,1074.9,0.203546",
"1257.33,271.407,0.914422","1360.3,350.745,0.78676","1286.7,338.974,0.734957","1177.78,386.195,0.85034","1098.37,341.803,0.751224","1433.83,365.487,0.730294","1330.97,506.673,0.855919","1304.42,359.53,0.780588","1348.48,662.721,0.584631","1295.57,653.949,0.570722","1277.79,877.529,0.7522","1292.56,1074.88,0.340968","1398.53,665.711,0.577268","1404.37,901.183,0.76889","1469.25,1074.9,0.0572541","1257.27,250.761,0.190826","1274.87,250.737,0.858272","0,0,0","1333.9,250.681,0.871815","0,0,0","0,0,0","0,0,0","1289.67,1074.9,0.0662253","0,0,0","1298.48,1074.9,0.143776",
"1257.33,274.203,0.905015","1363.21,350.737,0.777368","1298.5,339.029,0.728636","1204.33,424.308,0.795348","1145.54,374.313,0.761639","1430.97,365.379,0.753607","1330.89,506.689,0.864352","1304.22,359.619,0.81364","1333.89,662.683,0.590512","1283.75,651.02,0.607869","1277.82,880.451,0.737029","1292.59,1074.88,0.312498","1392.62,668.543,0.567304","1401.57,907.081,0.742246","1469.02,1074.9,0.0616138","1257.3,250.743,0.165504","1274.86,250.756,0.860645","0,0,0","1336.7,250.72,0.873872","0,0,0","0,0,0","0,0,0","1301.44,1074.9,0.0660844","1307.3,1074.92,0.0534102","1298.48,1074.91,0.129789",
"1257.26,274.224,0.888249","1369.07,350.794,0.75648","1304.47,341.835,0.749521","1260.27,465.577,0.584894","1207.25,409.681,0.667202","1428.03,362.502,0.759139","1327.93,503.859,0.853271","1301.34,350.756,0.772196","1333.82,656.862,0.607673","1283.75,650.954,0.612625","1263.11,877.491,0.766304","1289.71,1074.88,0.426796","1389.66,665.619,0.572355","1401.42,901.128,0.721638","0,0,0","1257.26,250.773,0.139148","1271.96,250.782,0.851163","0,0,0","1333.9,250.794,0.860983","0,0,0","0,0,0","0,0,0","1298.47,1074.9,0.0954241","1301.42,1074.91,0.0786034","1298.5,1074.9,0.196731",
"1257.1,274.25,0.864383","1369.07,362.418,0.778655","1307.37,359.512,0.665408","1274.94,483.14,0.437144","1219.05,412.656,0.455335","1425.15,362.532,0.751995","1327.76,503.804,0.827592","1295.5,359.49,0.783378","1333.83,659.777,0.609087","1283.71,650.954,0.617617","1260.14,877.586,0.775296","1292.59,1074.87,0.46602","1389.73,665.706,0.584102","1398.62,904.14,0.738429","0,0,0","1254.31,253.583,0.160216","1269.02,250.746,0.846682","0,0,0","1333.82,250.786,0.862938","0,0,0","0,0,0","0,0,0","1295.56,1074.9,0.109041","1301.4,1074.91,0.0895289","1301.42,1074.9,0.233762",
"1254.2,274.278,0.838712","1369.11,359.62,0.768223","1307.41,356.677,0.639694","1292.6,486.127,0.482287","1242.56,427.284,0.706887","1425.07,362.476,0.750436","1324.89,503.732,0.79783","1292.55,362.446,0.785123","1333.87,651.019,0.620688","1283.83,648.005,0.641786","1257.22,868.711,0.765815","1292.6,1074.87,0.481961","1389.66,659.769,0.575866","1395.56,901.116,0.744732","1469.05,1074.9,0.0620883","1251.44,253.657,0.132239","1263.2,253.615,0.849724","0,0,0","1330.95,253.573,0.855647","0,0,0","0,0,0","0,0,0","1295.55,1074.9,0.113598","1298.47,1074.91,0.0917905","1301.44,1074.9,0.243333",
"1236.73,300.661,0.879037","1351.43,344.836,0.603344","1327.85,353.714,0.330956","1286.77,477.272,0.113029","0,0,0","1377.97,336.036,0.693421","1236.65,386.033,0.712218","1171.93,342.034,0.659616","1339.68,662.723,0.514058","1304.41,659.794,0.503871","1280.69,883.389,0.704964","1286.72,1074.88,0.296143","1375.08,665.631,0.494108","1375.04,910.035,0.775095","0,0,0","0,0,0","1248.49,277.133,0.839789","0,0,0","1304.37,271.444,0.895451","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","1289.71,1074.9,0.117901",
